 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : Top
Version: R-2020.09-SP5
Date   : Fri May 20 01:52:24 2022
****************************************

 # A fanout number of 1000 was used for high fanout net computations.

Operating Conditions: WCCOM   Library: fsa0m_a_generic_core_ss1p62v125c
Wire Load Model Mode: enclosed

  Startpoint: i_mode (input port clocked by clk)
  Endpoint: aes_top/temp_out_r_reg[119]
            (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  Top                G200K                 fsa0m_a_generic_core_tt1p8v25c
  AESOneRound        enG30K                fsa0m_a_generic_core_tt1p8v25c
  MixColumn          enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyMinv_0     enG5K                 fsa0m_a_generic_core_tt1p8v25c
  SubOneByte_0       enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyM_0        enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyMinv_10    enG5K                 fsa0m_a_generic_core_tt1p8v25c
  SubOneByte_10      enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyM_10       enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyMinv_5     enG5K                 fsa0m_a_generic_core_tt1p8v25c
  SubOneByte_5       enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyM_5        enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyMinv_15    enG5K                 fsa0m_a_generic_core_tt1p8v25c
  SubOneByte_15      enG5K                 fsa0m_a_generic_core_tt1p8v25c
  MultiplyM_15       enG5K                 fsa0m_a_generic_core_tt1p8v25c

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  clock clk (rise edge)                                   0.00       0.00
  clock network delay (ideal)                             0.50       0.50
  input external delay                                    1.00       1.50 r
  i_mode (in)                                             0.03       1.53 r
  U16735/O (INV1S)                                        0.16       1.69 f
  U16736/O (INV1S)                                        0.45       2.15 r
  aes_top/oneround/dec (AESOneRound)                      0.00       2.15 r
  aes_top/oneround/U134/O (INV1S)                         0.47       2.61 f
  aes_top/oneround/U100/O (BUF1)                          0.39       3.01 f
  aes_top/oneround/U139/O (BUF1)                          0.25       3.26 f
  aes_top/oneround/U444/O (BUF1)                          0.27       3.53 f
  aes_top/oneround/U392/O (MOAI1S)                        0.27       3.80 f
  aes_top/oneround/U75/O (INV1S)                          0.12       3.92 r
  aes_top/oneround/U76/O (INV1S)                          0.35       4.27 f
  aes_top/oneround/mix/in[15] (MixColumn)                 0.00       4.27 f
  aes_top/oneround/mix/U678/O (MOAI1S)                    0.63       4.90 r
  aes_top/oneround/mix/U761/O (MOAI1S)                    0.36       5.27 f
  aes_top/oneround/mix/U762/O (MOAI1S)                    0.42       5.69 f
  aes_top/oneround/mix/U763/O (MOAI1S)                    0.35       6.05 f
  aes_top/oneround/mix/U764/O (MOAI1S)                    0.33       6.38 f
  aes_top/oneround/mix/U739/O (MOAI1S)                    0.31       6.68 f
  aes_top/oneround/mix/out_inv[2] (MixColumn)             0.00       6.68 f
  aes_top/oneround/U772/O (MOAI1S)                        0.29       6.97 f
  aes_top/oneround/invshift/in[2] (InvShiftRow)           0.00       6.97 f
  aes_top/oneround/invshift/U42/O (BUF1)                  0.18       7.16 f
  aes_top/oneround/invshift/out[34] (InvShiftRow)         0.00       7.16 f
  aes_top/oneround/U501/O (MUX2)                          0.34       7.50 f
  aes_top/oneround/sub96/in[2] (SubByte_96)               0.00       7.50 f
  aes_top/oneround/sub96/s11/in[2] (SubOneByte_0)         0.00       7.50 f
  aes_top/oneround/sub96/s11/m1/in[2] (MultiplyMinv_0)
                                                          0.00       7.50 f
  aes_top/oneround/sub96/s11/m1/U4/O (MOAI1S)             0.60       8.09 r
  aes_top/oneround/sub96/s11/m1/U5/O (MOAI1S)             0.15       8.24 f
  aes_top/oneround/sub96/s11/m1/out[3] (MultiplyMinv_0)
                                                          0.00       8.24 f
  aes_top/oneround/sub96/s11/c0/in[3] (AddCinv_0)         0.00       8.24 f
  aes_top/oneround/sub96/s11/c0/U4/O (BUF1)               0.21       8.46 f
  aes_top/oneround/sub96/s11/c0/out[3] (AddCinv_0)        0.00       8.46 f
  aes_top/oneround/sub96/s11/U7/O (AOI22S)                0.37       8.82 r
  aes_top/oneround/sub96/s11/U18/O (ND2S)                 0.27       9.09 f
  aes_top/oneround/sub96/s11/U19/O (NR2)                  0.48       9.58 r
  aes_top/oneround/sub96/s11/U61/O (INV1S)                0.44      10.02 f
  aes_top/oneround/sub96/s11/U104/O (NR2)                 0.51      10.53 r
  aes_top/oneround/sub96/s11/U120/O (INV1S)               0.22      10.75 f
  aes_top/oneround/sub96/s11/U97/O (ND3)                  0.21      10.96 r
  aes_top/oneround/sub96/s11/U339/O (INV1S)               0.13      11.09 f
  aes_top/oneround/sub96/s11/U344/O (AN4B1S)              0.27      11.36 f
  aes_top/oneround/sub96/s11/U345/O (ND3)                 0.11      11.47 r
  aes_top/oneround/sub96/s11/U100/O (AN4B1S)              0.11      11.58 f
  aes_top/oneround/sub96/s11/U299/O (ND3)                 0.12      11.69 r
  aes_top/oneround/sub96/s11/U155/O (AOI22S)              0.11      11.81 f
  aes_top/oneround/sub96/s11/U437/O (ND2S)                0.30      12.11 r
  aes_top/oneround/sub96/s11/m0/in[7] (MultiplyM_0)       0.00      12.11 r
  aes_top/oneround/sub96/s11/m0/U1/O (MOAI1S)             0.31      12.42 f
  aes_top/oneround/sub96/s11/m0/U7/O (MOAI1S)             0.33      12.74 f
  aes_top/oneround/sub96/s11/m0/out[2] (MultiplyM_0)      0.00      12.74 f
  aes_top/oneround/sub96/s11/c1/in[2] (AddC_0)            0.00      12.74 f
  aes_top/oneround/sub96/s11/c1/U5/O (BUF1)               0.20      12.94 f
  aes_top/oneround/sub96/s11/c1/out[2] (AddC_0)           0.00      12.94 f
  aes_top/oneround/sub96/s11/U393/O (MUX2)                0.27      13.21 f
  aes_top/oneround/sub96/s11/out[2] (SubOneByte_0)        0.00      13.21 f
  aes_top/oneround/sub96/out[2] (SubByte_96)              0.00      13.21 f
  aes_top/oneround/U893/O (AO222)                         0.34      13.55 f
  aes_top/oneround/add/in[2] (AddRoundKey_0)              0.00      13.55 f
  aes_top/oneround/add/U107/O (MAOI1)                     0.18      13.73 r
  aes_top/oneround/add/out[2] (AddRoundKey_0)             0.00      13.73 r
  aes_top/oneround/U446/O (INV1S)                         0.19      13.92 f
  aes_top/oneround/U18/O (MOAI1S)                         1.11      15.03 r
  aes_top/oneround/mix/in[2] (MixColumn)                  0.00      15.03 r
  aes_top/oneround/mix/U550/O (MOAI1S)                    0.52      15.55 f
  aes_top/oneround/mix/U635/O (MOAI1S)                    0.96      16.51 r
  aes_top/oneround/mix/U940/O (MOAI1S)                    0.18      16.68 f
  aes_top/oneround/mix/U941/O (MOAI1S)                    0.34      17.02 f
  aes_top/oneround/mix/U942/O (MOAI1S)                    0.33      17.35 f
  aes_top/oneround/mix/out_inv[18] (MixColumn)            0.00      17.35 f
  aes_top/oneround/U756/O (MOAI1S)                        0.33      17.68 f
  aes_top/oneround/invshift/in[18] (InvShiftRow)          0.00      17.68 f
  aes_top/oneround/invshift/U46/O (BUF1)                  0.18      17.87 f
  aes_top/oneround/invshift/out[114] (InvShiftRow)        0.00      17.87 f
  aes_top/oneround/U462/O (MUX2)                          0.34      18.21 f
  aes_top/oneround/sub96/in[82] (SubByte_96)              0.00      18.21 f
  aes_top/oneround/sub96/s1/in[2] (SubOneByte_10)         0.00      18.21 f
  aes_top/oneround/sub96/s1/m1/in[2] (MultiplyMinv_10)
                                                          0.00      18.21 f
  aes_top/oneround/sub96/s1/m1/U4/O (MOAI1S)              0.60      18.81 r
  aes_top/oneround/sub96/s1/m1/U5/O (MOAI1S)              0.15      18.96 f
  aes_top/oneround/sub96/s1/m1/out[3] (MultiplyMinv_10)
                                                          0.00      18.96 f
  aes_top/oneround/sub96/s1/c0/in[3] (AddCinv_10)         0.00      18.96 f
  aes_top/oneround/sub96/s1/c0/U4/O (BUF1)                0.21      19.17 f
  aes_top/oneround/sub96/s1/c0/out[3] (AddCinv_10)        0.00      19.17 f
  aes_top/oneround/sub96/s1/U7/O (AOI22S)                 0.37      19.54 r
  aes_top/oneround/sub96/s1/U297/O (ND2S)                 0.29      19.84 f
  aes_top/oneround/sub96/s1/U19/O (NR2)                   0.61      20.44 r
  aes_top/oneround/sub96/s1/U63/O (INV1S)                 0.38      20.83 f
  aes_top/oneround/sub96/s1/U84/O (NR2)                   0.61      21.44 r
  aes_top/oneround/sub96/s1/U86/O (NR2)                   0.13      21.57 f
  aes_top/oneround/sub96/s1/U217/O (ND3)                  0.15      21.72 r
  aes_top/oneround/sub96/s1/U218/O (NR3)                  0.18      21.90 f
  aes_top/oneround/sub96/s1/U440/O (ND3)                  0.17      22.07 r
  aes_top/oneround/sub96/s1/U446/O (AOI22S)               0.11      22.18 f
  aes_top/oneround/sub96/s1/U447/O (ND2S)                 0.30      22.48 r
  aes_top/oneround/sub96/s1/m0/in[7] (MultiplyM_10)       0.00      22.48 r
  aes_top/oneround/sub96/s1/m0/U1/O (MOAI1S)              0.31      22.79 f
  aes_top/oneround/sub96/s1/m0/U7/O (MOAI1S)              0.33      23.12 f
  aes_top/oneround/sub96/s1/m0/out[2] (MultiplyM_10)      0.00      23.12 f
  aes_top/oneround/sub96/s1/c1/in[2] (AddC_10)            0.00      23.12 f
  aes_top/oneround/sub96/s1/c1/U6/O (BUF1)                0.20      23.32 f
  aes_top/oneround/sub96/s1/c1/out[2] (AddC_10)           0.00      23.32 f
  aes_top/oneround/sub96/s1/U393/O (MUX2)                 0.27      23.59 f
  aes_top/oneround/sub96/s1/out[2] (SubOneByte_10)        0.00      23.59 f
  aes_top/oneround/sub96/out[82] (SubByte_96)             0.00      23.59 f
  aes_top/oneround/U917/O (AO222)                         0.34      23.93 f
  aes_top/oneround/add/in[18] (AddRoundKey_0)             0.00      23.93 f
  aes_top/oneround/add/U105/O (MAOI1)                     0.18      24.11 r
  aes_top/oneround/add/out[18] (AddRoundKey_0)            0.00      24.11 r
  aes_top/oneround/U443/O (INV1S)                         0.19      24.30 f
  aes_top/oneround/U22/O (MOAI1S)                         1.11      25.41 r
  aes_top/oneround/mix/in[18] (MixColumn)                 0.00      25.41 r
  aes_top/oneround/mix/U746/O (MOAI1S)                    0.36      25.77 f
  aes_top/oneround/mix/U751/O (MOAI1S)                    0.37      26.14 f
  aes_top/oneround/mix/out_inv[20] (MixColumn)            0.00      26.14 f
  aes_top/oneround/U754/O (MOAI1S)                        0.31      26.45 f
  aes_top/oneround/invshift/in[20] (InvShiftRow)          0.00      26.45 f
  aes_top/oneround/invshift/U48/O (BUF1)                  0.18      26.63 f
  aes_top/oneround/invshift/out[116] (InvShiftRow)        0.00      26.63 f
  aes_top/oneround/U508/O (MUX2)                          0.34      26.98 f
  aes_top/oneround/sub96/in[84] (SubByte_96)              0.00      26.98 f
  aes_top/oneround/sub96/s1/in[4] (SubOneByte_10)         0.00      26.98 f
  aes_top/oneround/sub96/s1/m1/in[4] (MultiplyMinv_10)
                                                          0.00      26.98 f
  aes_top/oneround/sub96/s1/m1/U1/O (MOAI1S)              0.59      27.56 r
  aes_top/oneround/sub96/s1/m1/U3/O (MOAI1S)              0.16      27.73 f
  aes_top/oneround/sub96/s1/m1/out[2] (MultiplyMinv_10)
                                                          0.00      27.73 f
  aes_top/oneround/sub96/s1/c0/in[2] (AddCinv_10)         0.00      27.73 f
  aes_top/oneround/sub96/s1/c0/U2/O (INV1S)               0.14      27.87 r
  aes_top/oneround/sub96/s1/c0/out[2] (AddCinv_10)        0.00      27.87 r
  aes_top/oneround/sub96/s1/U166/O (AOI22S)               0.19      28.06 f
  aes_top/oneround/sub96/s1/U169/O (ND2S)                 0.44      28.49 r
  aes_top/oneround/sub96/s1/U170/O (INV1S)                0.28      28.77 f
  aes_top/oneround/sub96/s1/U174/O (ND2S)                 0.27      29.04 r
  aes_top/oneround/sub96/s1/U314/O (INV1S)                0.19      29.24 f
  aes_top/oneround/sub96/s1/U163/O (NR2)                  0.21      29.44 r
  aes_top/oneround/sub96/s1/U265/O (AN4B1S)               0.44      29.88 r
  aes_top/oneround/sub96/s1/U413/O (ND3)                  0.11      30.00 f
  aes_top/oneround/sub96/s1/U414/O (AOI22S)               0.21      30.20 r
  aes_top/oneround/sub96/s1/U415/O (ND2S)                 0.20      30.41 f
  aes_top/oneround/sub96/s1/m0/in[2] (MultiplyM_10)       0.00      30.41 f
  aes_top/oneround/sub96/s1/m0/U6/O (MOAI1S)              0.85      31.26 r
  aes_top/oneround/sub96/s1/m0/U13/O (MOAI1S)             0.14      31.40 f
  aes_top/oneround/sub96/s1/m0/out[4] (MultiplyM_10)      0.00      31.40 f
  aes_top/oneround/sub96/s1/c1/in[4] (AddC_10)            0.00      31.40 f
  aes_top/oneround/sub96/s1/c1/U8/O (BUF1)                0.22      31.62 f
  aes_top/oneround/sub96/s1/c1/out[4] (AddC_10)           0.00      31.62 f
  aes_top/oneround/sub96/s1/U342/O (MUX2)                 0.27      31.89 f
  aes_top/oneround/sub96/s1/out[4] (SubOneByte_10)        0.00      31.89 f
  aes_top/oneround/sub96/out[84] (SubByte_96)             0.00      31.89 f
  aes_top/oneround/U919/O (AO222)                         0.34      32.23 f
  aes_top/oneround/add/in[20] (AddRoundKey_0)             0.00      32.23 f
  aes_top/oneround/add/U109/O (MAOI1)                     0.18      32.41 r
  aes_top/oneround/add/out[20] (AddRoundKey_0)            0.00      32.41 r
  aes_top/oneround/U460/O (INV1S)                         0.19      32.60 f
  aes_top/oneround/U461/O (MOAI1S)                        1.17      33.77 r
  aes_top/oneround/mix/in[20] (MixColumn)                 0.00      33.77 r
  aes_top/oneround/mix/U204/O (INV1S)                     0.10      33.87 f
  aes_top/oneround/mix/U206/O (INV1S)                     0.31      34.18 r
  aes_top/oneround/mix/U192/O (MOAI1S)                    0.41      34.59 f
  aes_top/oneround/mix/U807/O (MOAI1S)                    0.50      35.09 f
  aes_top/oneround/mix/U808/O (MOAI1S)                    0.53      35.61 f
  aes_top/oneround/mix/U810/O (MOAI1S)                    0.36      35.97 f
  aes_top/oneround/mix/U811/O (MOAI1S)                    0.33      36.31 f
  aes_top/oneround/mix/out_inv[4] (MixColumn)             0.00      36.31 f
  aes_top/oneround/U770/O (MOAI1S)                        0.33      36.64 f
  aes_top/oneround/invshift/in[4] (InvShiftRow)           0.00      36.64 f
